veracity,claims
FALSE,"The man who killed the Uvalde, Texas, school shooter wasn’t even an on-duty police officer."
BLATANT-LIE,The government gives you your credit score.
BLATANT-LIE,Bill Gates planned a smallpox-type outbreak.
BLATANT-LIE,allegedly shows pallets of boxes containing baby formula at the U.S. southern border.
BLATANT-LIE,"Active shooter drill at high school in Uvalde, Texas, two months before the elementary school shooting shows the event was a false flag."
FALSE,"“Is ANYONE asking how Ron DeSantis was worth $340,000 in 2020 and is now worth $52 million?”"
MOSTLY-FALSE,"“Kari Lake has been appearing at rallies with neo-Nazis,” while “two federal juries have found” Katie Hobbs “guilty of racial discrimination.”"
BLATANT-LIE," “If you wanted to kill a bunch of MAGA voters in the middle of the heartland, how better than to target them and their kids with this deadly fentanyl? … It does look intentional.”"
MOSTLY-TRUE,“We produced more oil domestically in my first year in office than my predecessor did in his first year.”
FALSE,Australia’s 2021 official death statistics provide evidence COVID-19 vaccines have caused thousands of excess deaths.
FALSE,"“In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.”"
BLATANT-LIE," claims the U.S. military raided and subsequently destroyed a Moderna vaccine warehouse in Kansas City, Missouri."
MOSTLY-FALSE,The Biden administration has been “recklessly releasing potentially dangerous Afghans into our communities.”
TRUE,"40 percent of baby formula products are out of stock in the United States, forcing some mothers to drive hours away to find the necessary product."
FALSE,“When President Biden took office … there was no [COVID-19] vaccine available.”
FALSE,Quebec passed bill eliminating parental primacy and increasing government power to make decisions regarding children.
MOSTLY-FALSE,Says the Biden administration is choosing to send baby formula to the border as one of its “out-of-touch priorities.”
BLATANT-LIE,Official Study Concludes That Masks Caused More COVID.
MOSTLY-TRUE,“Kathy Barnette wants to build a statue of Barack Obama right next to the one of Abraham Lincoln on Capitol Hill.”
MOSTLY-TRUE,Trump Vowed SCOTUS Picks Would End Roe v. Wade.
FALSE,claims former Republican South Carolina Rep. Trey Gowdy attended the premiere of conservative filmmaker Dinesh D’Souza’s film “2000 Mules” at former President Donald Trump’s Mar-A-Lago residence.
BLATANT-LIE,Polish Armed Forces Wrote Letter Announcing Plan To Send ‘Airborne Units’ To Ukraine
MOSTLY-TRUE,Joe Biden “inherited inflation of 1.7%. Now we’re well over 8% and growing.”
BLATANT-LIE,claims Pfizer Vice President Rady Johnson was arrested by federal agents and charged with multiple counts of fraud.
FALSE,Climate change is not real as Arctic circle was warmer than present 6000 years ago.
BLATANT-LIE,"Biden, Soros, Obama Are Planning A New World Order Conspiracy."
MOSTLY-FALSE,Scientists have found a cause of SIDS.
FALSE, There is a pending case against me (Rodrigo Duterte) before the International Court of Justice.
FALSE,"State Sen. Kirk deViere voted against Medicaid expansion, the governor’s budget and teacher raises."
BLATANT-LIE,claims chemicals in sunscreen products cause cancer while the sun does not.
FALSE,“Just released” Pfizer documents show the Pfizer COVID-19 vaccine is “12% effective.”
BLATANT-LIE,A township electric vehicle charging station is powered with a diesel generator.
BLATANT-LIE,Says she never tweeted comments linking pedophilia and Islam.
FALSE,Claims Queen Elizabeth II disparaged Filipinos while congratulating Ferdinand “BongBong” Marcos Jr. for winning the country’s presidential election.
FALSE,“The vast majority of individuals that we’re releasing out (border) are not showing up for hearings.”
FALSE,Bibles are not allowed in schools but are encouraged in prisons.
MOSTLY-FALSE,"“When unemployment goes down, inflation goes up.”"
TRUE,U.S. deaths from COVID-19 hit 1 million.
BLATANT-LIE,A reporter who covered the Buffalo supermarket shooting was a “crisis actor.”
MOSTLY-TRUE,"Scott Morrison’s salary has risen from $140,000 to $550,000 in the past decade."
FALSE,The problem with mail ballots in Lancaster County is a sign of “voter fraud.”
BLATANT-LIE, allegedly shows a tweet from 
MOSTLY-FALSE,"“We have 76% of Americans living paycheck to paycheck, meaning they are one paycheck away from poverty.”"
FALSE,“they were not able to find a single healthy child in america that died from COVID-19 […] but one in every 2700 people are getting myocarditis”; “athletes are collapsing on playing fields as for myocarditis and it’s from the vaccines”; Moderna patent filed in 2019 is linked to t…
FALSE,Map shows ships waiting to dock along Chinese coast.
BLATANT-LIE,“We are still not sure exactly what” the “great replacement theory” is.
BLATANT-LIE,Students In Wilkes identify themselves as cats or furries.
FALSE,Georgia Secretary of State Brad Raffensperger used “$50 million of Zuckerberg money” in 2020 to “tip the scales.”
BLATANT-LIE,purportedly shows a tweet from Tesla CEO Elon Musk announcing his intention to purchase Dominion Voting Systems.
FALSE,Plan B contraceptive pills have been banned through new abortion legislation in Tennessee and Missouri.
FALSE,$35 billion in renewable energy projects have been rolled out in Australia in the past three years.
BLATANT-LIE,"Supreme Court Justice Clarence Thomas and his wife Ginni posted a photo of themselves enjoying a $5,135 bottle of wine “as American women despair about abortion rights being taken away from them.”"
BLATANT-LIE,"Agenda 21 means people can’t have private property, mostly, or land of their own."
FALSE,“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”
BLATANT-LIE,The Biggest Drop In The DOW Stock Market Ever Took Place During The Biden Administration.
FALSE,Biden set to sell America’s sovereignty to globalists at WHO on May 22.
